Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
cycle-cover-msa-patching,1.00,2.00,0.80,0.30,3360,39,684.38,3116,0,0.00,0,0.21,0.24,0.58,0.00
cycle-cover,1.00,2.00,0.80,0.60,3360,15,208.40,2540,0,0.00,0,0.66,0.67,0.69,0.00
baseline,1.00,2.00,0.80,0.00,3360,28,742.06,3217,0,0.00,0,0.78,1.01,1.16,0.00
msa-heuristic,1.00,2.00,0.80,0.70,3360,57,742.20,3246,0,0.00,0,0.85,1.02,1.23,0.00
