Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,187,0.00,0.00,0.000000,4,0.00,0.00,0.000000,183,0,0.000000,0.000000,2.14,0.00
0.200000,187,0.00,0.00,0.000000,4,0.00,0.00,0.000000,183,0,0.000000,0.000000,2.14,0.00
0.300000,187,0.00,0.00,0.000000,4,0.00,0.00,0.000000,183,0,0.000000,0.000000,2.14,0.00
0.400000,187,0.00,0.00,0.000000,4,0.00,0.00,0.000000,183,0,0.000000,0.000000,2.14,0.00
0.500000,186,0.00,0.00,0.000000,4,0.00,0.00,0.000000,182,0,0.000000,0.000000,2.15,0.00
0.600000,186,0.00,0.00,0.000000,4,0.00,0.00,0.000000,182,0,0.000000,0.000000,2.15,0.00
0.700000,185,0.00,0.00,0.000000,4,0.00,0.00,0.000000,181,0,0.000000,0.000000,2.16,0.00
0.800000,185,0.00,0.00,0.000000,4,0.00,0.00,0.000000,181,0,0.000000,0.000000,2.16,0.00
0.900000,185,0.00,0.00,0.000000,4,0.00,0.00,0.000000,181,0,0.000000,0.000000,2.16,0.00
1.000000,183,0.00,0.00,0.000000,4,0.00,0.00,0.000000,179,0,0.000000,0.000000,2.19,0.00
