Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
cycle-cover-msa-patching,1.00,2.00,0.80,0.80,5000,4,576.54,4692,0,0.00,0,0.95,1.29,1.81,0.00
cycle-cover,1.00,2.00,0.80,0.80,5000,4,434.22,4422,0,0.00,0,1.06,1.42,1.74,0.00
baseline,1.00,2.00,0.80,0.00,5000,1,291.32,2387,0,0.00,0,2.20,2.36,2.47,0.00
msa-heuristic,1.00,2.00,0.80,0.90,5000,7,825.98,4810,0,0.00,0,2.10,2.39,2.61,0.00
