Metric,Value
Instance,ftv70
Dimension,71
Unique found-optimal tours,109
Unique found-optimal edges,93
Raw MSA support found-optimal edge coverage [%],67.74
Threshold MSA support threshold,0.800000
Threshold MSA support edges,64
Threshold MSA support precision [%],59.38
Threshold MSA support recall [%],40.86
Threshold MSA support lift,31.730511
Top MSA support edges,70
Top MSA support precision [%],57.14
Top MSA support recall [%],43.01
Top MSA support lift,30.537634
Top MSA support avg tour coverage [%],48.46
Top MSA support best tour coverage [%],52.11
