Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.00,1.00,34,100,4,9.00,17,0.00,0.00,0.00,100.00,2
1.00,5.00,0.80,0.05,0.75,0.90,31,109,3,13.30,31,0.00,0.00,0.00,100.00,4
1.00,5.00,0.80,0.05,0.75,0.80,28,121,2,13.60,50,0.00,0.00,0.00,100.00,3
1.00,5.00,0.80,0.05,0.50,0.80,28,121,5,16.00,38,0.00,0.00,0.00,100.00,4
1.00,5.00,0.80,0.05,1.00,1.00,34,100,3,17.90,39,0.00,0.00,0.00,100.00,5
1.00,5.00,0.80,0.05,1.00,0.60,21,161,2,19.80,35,0.00,0.00,0.00,100.00,4
1.00,5.00,0.80,0.05,1.00,0.80,28,121,2,20.00,45,0.00,0.00,0.00,100.00,5
1.00,5.00,0.80,0.05,0.50,0.60,21,161,5,20.20,46,0.00,0.00,0.00,100.00,4
1.00,5.00,0.80,0.05,0.75,0.60,21,161,3,21.60,75,0.00,0.00,0.00,100.00,4
1.00,5.00,0.80,0.05,0.50,0.40,14,242,5,21.70,49,0.00,0.00,0.00,100.00,2
1.00,5.00,0.80,0.05,1.00,0.70,24,141,2,23.90,49,0.00,0.00,0.00,100.00,5
1.00,5.00,0.80,0.05,0.50,0.90,31,109,4,24.60,41,0.00,0.00,0.00,100.00,6
1.00,5.00,0.80,0.05,0.25,0.90,31,109,3,25.30,98,0.00,0.00,0.00,100.00,6
1.00,5.00,0.80,0.05,1.00,0.90,31,109,5,27.40,74,0.00,0.00,0.00,100.00,8
1.00,5.00,0.80,0.05,0.75,0.70,24,141,6,28.00,70,0.00,0.00,0.00,100.00,6
1.00,5.00,0.80,0.05,0.75,1.00,34,100,5,29.70,71,0.00,0.00,0.00,100.00,9
1.00,5.00,0.80,0.05,0.50,0.70,24,141,3,31.50,97,0.00,0.00,0.00,100.00,6
1.00,5.00,0.80,0.05,0.50,0.50,17,200,5,33.80,76,0.00,0.00,0.00,100.00,5
1.00,5.00,0.80,0.05,0.25,0.30,11,309,7,34.90,85,0.00,0.00,0.00,100.00,3
1.00,5.00,0.80,0.05,0.25,0.60,21,161,7,36.20,89,0.00,0.00,0.00,100.00,5
1.00,5.00,0.80,0.05,1.00,0.50,17,200,12,40.90,89,0.00,0.00,0.00,100.00,6
