Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.75,0.80,28,121,36,79.40,114,0.00,0.67,3.34,80.00,8
1.00,5.00,0.80,0.05,1.00,0.80,28,121,61,94.10,114,0.00,1.00,3.34,70.00,11
1.00,5.00,0.80,0.05,0.50,0.80,28,121,27,58.00,118,0.00,1.38,4.12,60.00,8
1.00,5.00,0.80,0.05,0.25,0.80,28,121,7,29.60,101,0.00,1.91,4.12,50.00,8
1.00,5.00,0.80,0.05,0.00,0.80,28,121,12,44.00,115,0.00,3.55,6.61,30.00,10
