Threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle cover,High-CMSA found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-CMSA edges [%],Cycle-cover share of high-CMSA found-optimal edges [%]
0.100000,132,61.36,51.27,56.392405,77,84.42,41.14,77.576854,55,16,0.230519,0.101266,58.33,80.25
0.200000,126,61.11,48.73,56.160338,74,86.49,40.51,79.479986,52,13,0.253754,0.082278,58.73,83.12
0.300000,126,61.11,48.73,56.160338,74,86.49,40.51,79.479986,52,13,0.253754,0.082278,58.73,83.12
0.400000,124,62.10,48.73,57.066149,73,87.67,40.51,80.568753,51,13,0.255745,0.082278,58.87,83.12
0.500000,121,61.16,46.84,56.202532,71,87.32,39.24,80.249599,50,12,0.261669,0.075949,58.68,83.78
0.600000,118,61.86,46.20,56.852607,70,87.14,38.61,80.083183,48,12,0.252785,0.075949,59.32,83.56
0.700000,115,61.74,44.94,56.737479,69,86.96,37.97,79.911943,46,11,0.252174,0.069620,60.00,84.51
0.800000,115,61.74,44.94,56.737479,69,86.96,37.97,79.911943,46,11,0.252174,0.069620,60.00,84.51
0.900000,110,62.73,43.67,57.645570,68,88.24,37.97,81.087118,42,9,0.255080,0.056962,61.82,86.96
1.000000,73,68.49,31.65,62.944338,52,86.54,28.48,79.527751,21,5,0.180453,0.031646,71.23,90.00
