Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,151,0.76,64.24,53.01,69.293236,54
0.200000,146,0.74,64.38,51.37,69.449809,52
0.300000,143,0.72,64.34,50.27,69.398143,51
0.400000,141,0.71,63.83,49.18,68.852459,51
0.500000,141,0.71,63.83,49.18,68.852459,51
0.600000,141,0.71,63.83,49.18,68.852459,51
0.700000,140,0.71,64.29,49.18,69.344262,50
0.800000,135,0.68,65.19,48.09,70.314511,47
0.900000,129,0.65,66.67,46.99,71.912568,43
1.000000,85,0.43,75.29,34.97,81.218901,21
