Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,151,64.24,53.01,69.293236,90,90.00,44.26,97.081967,61,16,0.257616,0.087432,59.60,83.51
0.200000,146,64.38,51.37,69.449809,89,91.01,44.26,98.172776,57,13,0.266277,0.071038,60.96,86.17
0.300000,143,64.34,50.27,69.398143,88,90.91,43.72,98.062593,55,12,0.265734,0.065574,61.54,86.96
0.400000,141,63.83,49.18,68.852459,86,90.70,42.62,97.834541,55,12,0.268679,0.065574,60.99,86.67
0.500000,141,63.83,49.18,68.852459,86,90.70,42.62,97.834541,55,12,0.268679,0.065574,60.99,86.67
0.600000,141,63.83,49.18,68.852459,86,90.70,42.62,97.834541,55,12,0.268679,0.065574,60.99,86.67
0.700000,140,64.29,49.18,69.344262,86,90.70,42.62,97.834541,54,12,0.264120,0.065574,61.43,86.67
0.800000,135,65.19,48.09,70.314511,84,90.48,41.53,97.595628,51,12,0.252910,0.065574,62.22,86.36
0.900000,129,66.67,46.99,71.912568,83,90.36,40.98,97.471855,46,11,0.236948,0.060109,64.34,87.21
1.000000,85,75.29,34.97,81.218901,63,90.48,31.15,97.595628,22,7,0.151821,0.038251,74.12,89.06
