Metric,Value
Instance,ftv140
Dimension,141
Unique found-optimal tours,109
Unique found-optimal edges,183
Raw MSA support found-optimal edge coverage [%],67.21
Threshold MSA support threshold,0.800000
Threshold MSA support edges,135
Threshold MSA support precision [%],65.19
Threshold MSA support recall [%],48.09
Threshold MSA support lift,70.314511
Top MSA support edges,140
Top MSA support precision [%],64.29
Top MSA support recall [%],49.18
Top MSA support lift,69.344262
Top MSA support avg tour coverage [%],56.77
Top MSA support best tour coverage [%],58.16
