Metric,Value
Instance,ftv140
Dimension,141
Unique found-optimal tours,109
Unique found-optimal edges,183
Found-optimal edge density [%],0.93
Cycle cover cost,2301.000000
Cycle cover gap to known optimum [%],4.92
Cycle cover cycles,17
Cycle cover min cycle length,2
Cycle cover avg cycle length,8.294118
Cycle cover max cycle length,63
Cycle cover edges,141
Cycle cover edge density [%],0.71
Cycle cover found-optimal edges,114
Cycle cover edges not seen in found-optimal tours,27
Cycle cover precision vs found-optimal edges [%],80.85
Cycle cover recall vs found-optimal edges [%],62.30
Cycle cover lift vs found-optimal edge density,87.213115
High MSA support threshold,1.000000
High MSA support edges,85
High MSA support edge density [%],0.43
High MSA support found-optimal edges,64
High MSA support edges not seen in found-optimal tours,21
High MSA support precision vs found-optimal edges [%],75.29
High MSA support recall vs found-optimal edges [%],34.97
High MSA support lift vs found-optimal edge density,81.218901
Cycle cover positive-MSA support edges,114
Cycle cover positive-MSA support edge density [%],0.58
Cycle cover positive-MSA support found-optimal edges,99
Cycle cover positive-MSA support edges not seen in found-optimal tours,15
Cycle cover positive-MSA support precision vs found-optimal edges [%],86.84
Cycle cover positive-MSA support recall vs found-optimal edges [%],54.10
Cycle cover positive-MSA support lift vs found-optimal edge density,93.675582
Cycle cover high-MSA support edges,63
Cycle cover high-MSA support edge density [%],0.32
Cycle cover high-MSA support found-optimal edges,57
Cycle cover high-MSA support edges not seen in found-optimal tours,6
Cycle cover high-MSA support precision vs found-optimal edges [%],90.48
Cycle cover high-MSA support recall vs found-optimal edges [%],31.15
Cycle cover high-MSA support lift vs found-optimal edge density,97.595628
Cycle cover edges with positive MSA support,114
Cycle cover positive-MSA support share [%],80.85
Cycle cover edges with high MSA support,63
Cycle cover high-MSA support share [%],44.68
High-MSA support edges removed by cycle-cover gate,22
High-MSA support found-optimal edges removed by cycle-cover gate,7
High-MSA support precision gain from cycle-cover gate,0.151821
High-MSA support recall loss from cycle-cover gate,0.038251
Found-optimal edges in both cycle cover and high MSA support,57
Found-optimal edges in cycle cover but not high MSA support,57
Found-optimal edges in high MSA support but not cycle cover,7
Found-optimal edges in neither cycle cover nor high MSA support,62
