Metric,Value
Instance,ftv160
Dimension,161
Unique found-optimal tours,149
Unique found-optimal edges,218
Raw MSA support found-optimal edge coverage [%],67.43
Threshold MSA support threshold,0.800000
Threshold MSA support edges,148
Threshold MSA support precision [%],68.92
Threshold MSA support recall [%],46.79
Threshold MSA support lift,81.438135
Top MSA support edges,160
Top MSA support precision [%],66.88
Top MSA support recall [%],49.08
Top MSA support lift,79.022936
Top MSA support avg tour coverage [%],58.37
Top MSA support best tour coverage [%],60.25
