Metric,Value
Instance,ftv160
Dimension,161
Unique found-optimal tours,149
Unique found-optimal edges,218
Found-optimal edge density [%],0.85
Cycle cover cost,2560.000000
Cycle cover gap to known optimum [%],4.58
Cycle cover cycles,16
Cycle cover min cycle length,2
Cycle cover avg cycle length,10.062500
Cycle cover max cycle length,80
Cycle cover edges,161
Cycle cover edge density [%],0.62
Cycle cover found-optimal edges,143
Cycle cover edges not seen in found-optimal tours,18
Cycle cover precision vs found-optimal edges [%],88.82
Cycle cover recall vs found-optimal edges [%],65.60
Cycle cover lift vs found-optimal edge density,104.954128
High MSA support threshold,1.000000
High MSA support edges,94
High MSA support edge density [%],0.36
High MSA support found-optimal edges,72
High MSA support edges not seen in found-optimal tours,22
High MSA support precision vs found-optimal edges [%],76.60
High MSA support recall vs found-optimal edges [%],33.03
High MSA support lift vs found-optimal edge density,90.509467
Cycle cover positive-MSA support edges,135
Cycle cover positive-MSA support edge density [%],0.52
Cycle cover positive-MSA support found-optimal edges,126
Cycle cover positive-MSA support edges not seen in found-optimal tours,9
Cycle cover positive-MSA support precision vs found-optimal edges [%],93.33
Cycle cover positive-MSA support recall vs found-optimal edges [%],57.80
Cycle cover positive-MSA support lift vs found-optimal edge density,110.287462
Cycle cover high-MSA support edges,70
Cycle cover high-MSA support edge density [%],0.27
Cycle cover high-MSA support found-optimal edges,65
Cycle cover high-MSA support edges not seen in found-optimal tours,5
Cycle cover high-MSA support precision vs found-optimal edges [%],92.86
Cycle cover high-MSA support recall vs found-optimal edges [%],29.82
Cycle cover high-MSA support lift vs found-optimal edge density,109.724771
Cycle cover edges with positive MSA support,135
Cycle cover positive-MSA support share [%],83.85
Cycle cover edges with high MSA support,70
Cycle cover high-MSA support share [%],43.48
High-MSA support edges removed by cycle-cover gate,24
High-MSA support found-optimal edges removed by cycle-cover gate,7
High-MSA support precision gain from cycle-cover gate,0.162614
High-MSA support recall loss from cycle-cover gate,0.032110
Found-optimal edges in both cycle cover and high MSA support,65
Found-optimal edges in cycle cover but not high MSA support,78
Found-optimal edges in high MSA support but not cycle cover,7
Found-optimal edges in neither cycle cover nor high MSA support,68
