Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,182,66.48,55.50,78.560339,111,94.59,48.17,111.777833,71,16,0.281111,0.073394,60.99,86.78
0.200000,173,66.47,52.75,78.549080,107,94.39,46.33,111.539055,66,14,0.279185,0.064220,61.85,87.83
0.300000,172,66.28,52.29,78.318754,106,94.34,45.87,111.476545,66,14,0.280606,0.064220,61.63,87.72
0.400000,168,66.67,51.38,78.776758,105,94.29,45.41,111.412844,63,13,0.276190,0.059633,62.50,88.39
0.500000,161,66.46,49.08,78.532110,101,94.06,43.58,111.145426,60,12,0.275998,0.055046,62.73,88.79
0.600000,154,68.18,48.17,80.567139,100,94.00,43.12,111.075229,54,11,0.258182,0.050459,64.94,89.52
0.700000,150,68.00,46.79,80.352294,97,93.81,41.74,110.855954,53,11,0.258144,0.050459,64.67,89.22
0.800000,148,68.92,46.79,81.438135,97,93.81,41.74,110.855954,51,11,0.248955,0.050459,65.54,89.22
0.900000,141,70.92,45.87,83.805062,96,93.75,41.28,110.779817,45,10,0.228280,0.045872,68.09,90.00
1.000000,94,76.60,33.03,90.509467,70,92.86,29.82,109.724771,24,7,0.162614,0.032110,74.47,90.28
