Threshold,High MSA support edges,High MSA support density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-MSA support edges not seen in found-optimal tours
0.100000,182,0.71,66.48,55.50,78.560339,61
0.200000,173,0.67,66.47,52.75,78.549080,58
0.300000,172,0.67,66.28,52.29,78.318754,58
0.400000,168,0.65,66.67,51.38,78.776758,56
0.500000,161,0.62,66.46,49.08,78.532110,54
0.600000,154,0.60,68.18,48.17,80.567139,49
0.700000,150,0.58,68.00,46.79,80.352294,48
0.800000,148,0.57,68.92,46.79,81.438135,46
0.900000,141,0.55,70.92,45.87,83.805062,41
1.000000,94,0.36,76.60,33.03,90.509467,22
