Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,2.00,0.80,0.10,100,21,50.50,88,0,0.00,0,0.00,2.24,4.15,10.00,0
1.00,2.00,0.80,0.90,100,33,65.70,98,0,0.00,0,0.00,2.36,5.08,20.00,0
1.00,2.00,0.80,0.50,100,29,68.40,99,0,0.00,0,0.12,2.52,3.78,0.00,0
1.00,2.00,0.80,0.30,100,28,53.60,94,0,0.00,0,0.62,2.73,3.60,0.00,0
1.00,2.00,0.80,0.20,100,39,62.50,96,0,0.00,0,0.00,2.75,6.20,10.00,0
1.00,2.00,0.80,0.70,100,26,51.30,85,0,0.00,0,0.00,2.93,3.78,10.00,0
1.00,2.00,0.80,0.00,100,31,66.20,92,0,0.00,0,0.68,2.98,7.75,0.00,0
1.00,2.00,0.80,0.40,100,30,53.80,96,0,0.00,0,0.12,3.03,4.34,0.00,0
1.00,2.00,0.80,0.60,100,25,37.30,84,0,0.00,0,0.68,3.35,5.95,0.00,0
1.00,2.00,0.80,1.00,100,22,62.20,95,0,0.00,0,0.68,3.77,5.77,0.00,0
1.00,2.00,0.80,0.80,100,21,57.50,97,0,0.00,0,2.29,4.19,9.05,0.00,0
