Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.25,0.30,14,321,67,205.60,303,0.00,1.32,3.84,30.00,29
1.00,5.00,0.80,0.05,0.25,0.80,36,125,32,73.70,112,0.62,1.92,4.22,0.00,27
1.00,5.00,0.80,0.05,0.25,1.00,45,100,27,62.50,99,0.00,1.92,3.97,20.00,26
1.00,5.00,0.80,0.05,0.50,0.30,14,321,19,199.90,296,0.00,1.97,4.96,20.00,30
1.00,5.00,0.80,0.05,0.25,0.50,23,195,22,107.30,156,0.62,1.98,4.34,0.00,28
1.00,5.00,0.80,0.05,0.25,0.20,9,500,120,324.60,491,0.62,2.13,4.15,0.00,33
1.00,5.00,0.80,0.05,0.25,0.60,27,166,35,94.80,153,0.00,2.18,6.39,20.00,23
1.00,5.00,0.80,0.05,0.00,0.10,5,900,161,526.50,885,0.00,2.21,5.77,20.00,36
1.00,5.00,0.80,0.05,0.50,0.70,32,140,60,102.80,137,0.00,2.21,3.97,10.00,27
1.00,5.00,0.80,0.05,0.50,1.00,45,100,41,69.00,93,0.00,2.29,4.46,10.00,26
1.00,5.00,0.80,0.05,0.25,0.90,41,109,14,67.00,96,0.00,2.36,6.39,20.00,24
1.00,5.00,0.80,0.05,0.25,0.10,5,900,136,577.80,894,0.62,2.41,5.02,0.00,38
1.00,5.00,0.80,0.05,0.50,0.40,18,250,125,185.80,241,0.00,2.42,3.97,10.00,29
1.00,5.00,0.80,0.05,0.50,0.50,23,195,72,115.10,177,0.68,2.42,7.01,0.00,29
1.00,5.00,0.80,0.05,0.25,0.40,18,250,41,146.90,232,0.00,2.46,5.39,10.00,27
1.00,5.00,0.80,0.05,0.50,0.80,36,125,18,78.60,117,0.00,2.61,4.96,20.00,27
1.00,5.00,0.80,0.05,0.00,0.40,18,250,43,143.90,240,0.00,2.65,5.70,20.00,25
1.00,5.00,0.80,0.05,0.00,0.20,9,500,20,239.40,419,0.00,2.65,4.34,10.00,29
1.00,5.00,0.80,0.05,0.75,0.80,36,125,68,98.60,124,0.00,2.72,6.45,20.00,26
1.00,5.00,0.80,0.05,1.00,0.90,41,109,45,88.40,101,1.74,2.82,4.84,0.00,27
1.00,5.00,0.80,0.05,0.75,0.10,5,900,493,706.70,853,0.68,2.85,4.84,0.00,40
1.00,5.00,0.80,0.05,0.00,0.50,23,195,18,90.60,176,0.62,2.91,4.96,0.00,27
1.00,5.00,0.80,0.05,0.00,0.30,14,321,32,135.90,254,0.62,2.92,11.41,0.00,29
1.00,5.00,0.80,0.05,0.25,0.70,32,140,38,81.90,132,0.68,2.93,10.11,0.00,27
1.00,5.00,0.80,0.05,0.50,0.60,27,166,31,98.20,161,0.00,3.01,7.87,10.00,28
1.00,5.00,0.80,0.05,1.00,0.80,36,125,86,110.00,124,0.68,3.03,4.96,0.00,27
1.00,5.00,0.80,0.05,1.00,0.30,14,321,196,264.50,320,1.86,3.03,4.46,0.00,30
