Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,58,2.10,43.10,47.17,22.413793,33
0.200000,55,2.00,43.64,45.28,22.690909,31
0.300000,53,1.92,43.40,43.40,22.566038,30
0.400000,53,1.92,43.40,43.40,22.566038,30
0.500000,53,1.92,43.40,43.40,22.566038,30
0.600000,51,1.85,45.10,43.40,23.450980,28
0.700000,51,1.85,45.10,43.40,23.450980,28
0.800000,51,1.85,45.10,43.40,23.450980,28
0.900000,48,1.74,47.92,43.40,24.916667,25
1.000000,28,1.02,53.57,28.30,27.857143,13
