Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.25,0.50,27,981,213,365.30,559,0.00,0.06,0.09,30.00,547
1.00,5.00,0.80,0.05,0.50,0.40,22,1204,267,724.90,1127,0.00,0.06,0.09,30.00,715
1.00,5.00,0.80,0.05,0.50,0.20,11,2409,338,1332.30,1955,0.00,0.07,0.09,20.00,745
1.00,5.00,0.80,0.05,0.25,0.30,16,1656,171,931.20,1537,0.00,0.07,0.23,40.00,606
1.00,5.00,0.80,0.05,0.50,0.90,48,552,106,332.00,532,0.00,0.08,0.23,30.00,690
1.00,5.00,0.80,0.05,0.25,0.20,11,2409,199,1140.50,2206,0.00,0.08,0.23,30.00,627
1.00,5.00,0.80,0.05,0.25,0.10,6,4416,373,2077.90,4289,0.00,0.08,0.14,20.00,695
1.00,5.00,0.80,0.05,0.75,0.30,16,1656,643,1063.00,1629,0.00,0.08,0.09,10.00,800
1.00,5.00,0.80,0.05,1.00,0.20,11,2409,1372,1874.60,2328,0.00,0.08,0.09,10.00,842
1.00,5.00,0.80,0.05,0.50,0.10,6,4416,915,2346.20,4079,0.00,0.08,0.23,20.00,761
1.00,5.00,0.80,0.05,0.25,0.90,48,552,123,289.80,511,0.00,0.08,0.23,20.00,644
1.00,5.00,0.80,0.05,0.50,0.80,43,616,167,350.20,551,0.09,0.09,0.09,0.00,727
1.00,5.00,0.80,0.05,0.50,0.70,38,697,288,396.80,522,0.09,0.09,0.09,0.00,718
1.00,5.00,0.80,0.05,0.25,0.40,22,1204,80,429.20,1046,0.09,0.09,0.09,0.00,658
1.00,5.00,0.80,0.05,0.50,0.50,27,981,234,547.30,959,0.00,0.09,0.23,20.00,674
1.00,5.00,0.80,0.05,0.75,0.50,27,981,239,595.60,930,0.00,0.09,0.23,10.00,775
1.00,5.00,0.80,0.05,0.50,0.30,16,1656,314,702.40,1187,0.00,0.09,0.23,10.00,714
1.00,5.00,0.80,0.05,0.50,1.00,53,500,133,259.80,413,0.00,0.09,0.23,10.00,708
1.00,5.00,0.80,0.05,0.75,0.70,38,697,203,419.70,570,0.00,0.09,0.23,10.00,737
1.00,5.00,0.80,0.05,0.50,0.60,32,828,263,423.00,600,0.00,0.10,0.23,20.00,674
1.00,5.00,0.80,0.05,1.00,0.70,38,697,323,525.00,681,0.09,0.10,0.23,0.00,821
1.00,5.00,0.80,0.05,0.75,0.60,32,828,411,535.00,726,0.09,0.10,0.23,0.00,786
1.00,5.00,0.80,0.05,0.75,0.20,11,2409,935,1437.80,1891,0.09,0.10,0.23,0.00,805
1.00,5.00,0.80,0.05,1.00,0.10,6,4416,2990,3439.20,4016,0.09,0.10,0.23,0.00,899
1.00,5.00,0.80,0.05,0.75,1.00,53,500,120,299.90,443,0.09,0.12,0.23,0.00,776
1.00,5.00,0.80,0.05,0.75,0.90,48,552,255,411.40,520,0.00,0.12,0.23,10.00,786
1.00,5.00,0.80,0.05,1.00,0.40,22,1204,614,993.10,1182,0.09,0.14,0.23,0.00,827
1.00,5.00,0.80,0.05,0.75,0.10,6,4416,1127,2894.10,4303,0.00,0.16,0.98,20.00,852
1.00,5.00,0.80,0.05,0.25,0.60,32,828,128,256.20,489,0.00,0.16,0.94,10.00,628
1.00,5.00,0.80,0.05,0.00,0.60,32,828,143,437.90,695,0.00,0.17,0.94,30.00,509
1.00,5.00,0.80,0.05,0.25,0.70,38,697,56,218.40,536,0.09,0.17,0.94,0.00,690
1.00,5.00,0.80,0.05,1.00,0.60,32,828,520,685.40,825,0.00,0.17,1.03,10.00,874
1.00,5.00,0.80,0.05,1.00,0.50,27,981,558,751.40,907,0.00,0.17,1.03,10.00,809
1.00,5.00,0.80,0.05,0.75,0.80,43,616,199,352.30,503,0.00,0.18,1.12,10.00,769
1.00,5.00,0.80,0.05,1.00,0.90,48,552,302,444.30,546,0.00,0.20,1.12,10.00,830
1.00,5.00,0.80,0.05,0.75,0.40,22,1204,431,819.80,1108,0.09,0.20,1.03,0.00,809
1.00,5.00,0.80,0.05,1.00,0.80,43,616,297,494.70,611,0.09,0.20,1.12,0.00,833
1.00,5.00,0.80,0.05,0.00,0.70,38,697,71,351.10,585,0.00,0.21,1.12,30.00,491
1.00,5.00,0.80,0.05,0.25,1.00,53,500,26,186.30,433,0.00,0.22,1.62,20.00,614
1.00,5.00,0.80,0.05,0.00,0.20,11,2409,320,1182.30,2318,0.00,0.24,1.72,20.00,570
1.00,5.00,0.80,0.05,0.25,0.80,43,616,83,228.80,459,0.00,0.25,1.62,10.00,653
1.00,5.00,0.80,0.05,1.00,0.30,16,1656,814,1211.70,1469,0.09,0.27,0.94,0.00,838
1.00,5.00,0.80,0.05,0.00,0.50,27,981,88,382.60,792,0.00,0.35,1.62,10.00,563
1.00,5.00,0.80,0.05,0.00,0.40,22,1204,26,593.90,1133,0.00,0.37,2.30,30.00,516
1.00,5.00,0.80,0.05,0.00,1.00,53,500,146,308.90,476,0.00,0.41,2.30,20.00,568
