Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,2,100,46,83.90,99,0,0.00,0,0.68,4.88,10.23,0.00
1.00,2.00,0.80,0.40,1,100,43,82.06,99,0,0.00,0,0.00,5.99,15.38,2.00
1.00,2.00,0.80,0.40,3,100,35,81.08,99,0,0.00,0,1.18,6.04,14.57,0.00
