Metric,Value
Instance,crane66_1
Dimension,66
Unique found-optimal tours,1
Unique found-optimal edges,66
Raw MSA support found-optimal edge coverage [%],62.12
Threshold MSA support threshold,0.800000
Threshold MSA support edges,61
Threshold MSA support precision [%],40.98
Threshold MSA support recall [%],37.88
Threshold MSA support lift,26.639344
Top MSA support edges,65
Top MSA support precision [%],38.46
Top MSA support recall [%],37.88
Top MSA support lift,25.000000
Top MSA support avg tour coverage [%],37.88
Top MSA support best tour coverage [%],37.88
