Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.20,500,167,353.00,492,0,0.00,0,0.12,1.07,2.14,0.00
1.00,2.00,0.80,0.90,500,108,379.20,490,0,0.00,0,0.17,1.34,5.85,0.00
1.00,2.00,0.80,1.00,500,279,376.00,493,0,0.00,0,0.00,1.40,7.02,10.00
1.00,2.00,0.80,0.80,500,112,374.30,486,0,0.00,0,0.00,1.46,5.61,10.00
1.00,2.00,0.80,0.40,500,199,358.20,469,0,0.00,0,0.00,1.70,3.33,10.00
1.00,2.00,0.80,0.10,500,197,387.40,491,0,0.00,0,0.00,1.87,3.28,10.00
1.00,2.00,0.80,0.30,500,238,350.10,495,0,0.00,0,0.00,2.03,4.84,10.00
1.00,2.00,0.80,0.50,500,172,368.90,483,0,0.00,0,0.35,2.24,5.96,0.00
1.00,2.00,0.80,0.70,500,205,361.50,489,0,0.00,0,0.40,2.46,6.26,0.00
1.00,2.00,0.80,0.60,500,85,317.80,484,0,0.00,0,0.31,2.66,6.04,0.00
1.00,2.00,0.80,0.00,500,206,352.10,467,0,0.00,0,0.68,3.06,7.61,0.00
