Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
baseline,1.00,2.00,0.80,0.00,100,28,61.94,97,0,0.00,0,0.00,2.65,7.75,2.00
msa-heuristic,1.00,2.00,0.80,1.00,100,27,63.52,98,0,0.00,0,0.00,2.88,8.68,10.00
cycle-cover,1.00,2.00,0.80,0.60,100,24,60.34,99,0,0.00,0,0.12,3.78,8.12,0.00
cycle-cover-msa-patching,1.00,2.00,0.80,0.60,100,16,54.10,96,0,0.00,0,0.62,4.98,8.49,0.00
