Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
cycle-cover,1.00,2.00,0.80,0.80,5000,82,1818.84,4990,1053440,66424215.00,1740427,0.03,0.12,0.20,0.00
cycle-cover-msa-patching,1.00,2.00,0.80,0.70,5000,134,2260.50,4699,1025396,66605592.00,1924928,0.06,0.13,0.21,0.00
msa-heuristic,1.00,2.00,0.80,0.90,5000,60,2604.58,4796,855071,58429680.00,1375171,0.10,0.18,0.34,0.00
baseline,1.00,2.00,0.80,0.00,5000,81,2695.22,4939,784091,58615584.00,1485544,0.06,0.21,0.34,0.00
