Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,68,2.21,58.82,50.00,22.647059,28
0.200000,64,2.08,59.38,47.50,22.859375,26
0.300000,62,2.01,59.68,46.25,22.975806,25
0.400000,57,1.85,57.89,41.25,22.289474,24
0.500000,55,1.79,56.36,38.75,21.700000,24
0.600000,54,1.75,55.56,37.50,21.388889,24
0.700000,49,1.59,59.18,36.25,22.785714,20
0.800000,47,1.53,61.70,36.25,23.755319,18
0.900000,45,1.46,62.22,35.00,23.955556,17
1.000000,30,0.97,80.00,30.00,30.800000,6
