Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.75,0.20,12,2333,694,1799.60,2286,0.06,0.75,1.93,0.00,281
1.00,5.00,0.80,0.05,1.00,0.10,6,4666,2716,3485.40,4606,0.25,0.86,2.74,0.00,335
1.00,5.00,0.80,0.05,1.00,0.40,23,1217,456,931.60,1216,0.31,0.91,4.35,0.00,254
1.00,5.00,0.80,0.05,0.75,0.40,23,1217,49,715.40,1171,0.00,0.95,4.29,20.00,258
1.00,5.00,0.80,0.05,1.00,0.60,34,823,362,663.50,812,0.00,0.97,3.11,10.00,244
1.00,5.00,0.80,0.05,1.00,0.30,17,1647,1010,1407.00,1640,0.00,1.01,3.48,10.00,264
1.00,5.00,0.80,0.05,1.00,0.70,40,700,287,545.30,694,0.31,1.04,2.55,0.00,243
1.00,5.00,0.80,0.05,0.00,0.60,34,823,80,441.70,772,0.00,1.05,3.79,20.00,216
1.00,5.00,0.80,0.05,0.50,0.90,51,549,74,350.50,547,0.25,1.08,2.30,0.00,240
1.00,5.00,0.80,0.05,0.50,0.50,28,1000,37,556.60,851,0.31,1.08,2.67,0.00,248
1.00,5.00,0.80,0.05,1.00,0.80,45,622,264,481.10,621,0.31,1.12,3.11,0.00,248
1.00,5.00,0.80,0.05,0.75,1.00,56,500,188,345.80,499,0.12,1.14,4.10,0.00,238
1.00,5.00,0.80,0.05,0.75,0.60,34,823,307,603.50,754,0.31,1.23,3.48,0.00,245
1.00,5.00,0.80,0.05,0.75,0.70,40,700,159,507.60,698,0.25,1.28,4.35,0.00,242
1.00,5.00,0.80,0.05,0.75,0.30,17,1647,211,1294.60,1632,0.00,1.34,3.23,10.00,267
1.00,5.00,0.80,0.05,0.25,0.90,51,549,16,238.70,546,0.00,1.37,4.23,10.00,239
1.00,5.00,0.80,0.05,1.00,0.90,51,549,331,506.40,548,0.00,1.37,4.17,10.00,244
1.00,5.00,0.80,0.05,0.75,0.80,45,622,127,417.20,610,0.00,1.44,4.29,10.00,241
1.00,5.00,0.80,0.05,0.50,0.40,23,1217,70,699.90,1211,0.37,1.52,4.10,0.00,253
1.00,5.00,0.80,0.05,0.75,0.10,6,4666,2107,3499.10,4664,0.06,1.56,3.98,0.00,338
1.00,5.00,0.80,0.05,1.00,0.50,28,1000,228,767.00,999,0.31,1.56,4.54,0.00,248
1.00,5.00,0.80,0.05,0.50,0.30,17,1647,428,1123.00,1642,0.00,1.60,4.35,10.00,258
1.00,5.00,0.80,0.05,0.25,1.00,56,500,53,293.60,483,0.06,1.60,5.22,0.00,234
1.00,5.00,0.80,0.05,0.25,0.40,23,1217,110,575.40,1192,0.37,1.69,3.48,0.00,249
1.00,5.00,0.80,0.05,0.75,0.50,28,1000,272,696.10,959,0.00,1.73,4.29,10.00,250
1.00,5.00,0.80,0.05,0.50,0.60,34,823,46,588.60,818,0.37,1.74,2.74,0.00,243
1.00,5.00,0.80,0.05,1.00,0.20,12,2333,847,1803.00,2273,0.25,1.77,4.04,0.00,279
1.00,5.00,0.80,0.05,0.50,1.00,56,500,17,225.90,472,0.62,1.79,6.41,0.00,240
1.00,5.00,0.80,0.05,0.50,0.80,45,622,157,340.10,610,0.37,1.79,3.54,0.00,242
1.00,5.00,0.80,0.05,0.75,0.90,51,549,143,435.90,536,0.31,1.81,4.66,0.00,239
1.00,5.00,0.80,0.05,0.00,1.00,56,500,97,292.50,493,0.12,1.82,4.35,0.00,233
1.00,5.00,0.80,0.05,1.00,1.00,56,500,239,399.20,493,0.31,1.83,3.48,0.00,237
1.00,5.00,0.80,0.05,0.50,0.20,12,2333,41,1217.00,2161,0.31,1.87,3.73,0.00,280
1.00,5.00,0.80,0.05,0.25,0.30,17,1647,46,1078.30,1579,0.06,1.95,5.22,0.00,260
1.00,5.00,0.80,0.05,0.00,0.40,23,1217,89,425.50,970,0.00,1.95,5.60,40.00,193
1.00,5.00,0.80,0.05,0.00,0.30,17,1647,195,625.70,1605,0.00,2.01,4.29,10.00,234
1.00,5.00,0.80,0.05,0.00,0.80,45,622,20,203.50,550,0.00,2.02,4.48,10.00,218
1.00,5.00,0.80,0.05,0.25,0.80,45,622,18,225.70,551,0.12,2.15,5.22,0.00,243
1.00,5.00,0.80,0.05,0.25,0.10,6,4666,115,2240.60,4647,0.00,2.41,6.41,10.00,330
1.00,5.00,0.80,0.05,0.00,0.50,28,1000,100,527.00,996,0.00,2.42,5.91,20.00,223
1.00,5.00,0.80,0.05,0.25,0.50,28,1000,105,497.10,996,0.75,2.44,3.48,0.00,250
1.00,5.00,0.80,0.05,0.00,0.10,6,4666,572,2146.90,3740,0.00,2.49,7.96,20.00,279
1.00,5.00,0.80,0.05,0.50,0.70,40,700,380,528.20,686,0.37,2.57,5.22,0.00,241
1.00,5.00,0.80,0.05,0.00,0.70,40,700,102,360.90,655,0.00,2.59,7.03,20.00,223
1.00,5.00,0.80,0.05,0.00,0.20,12,2333,53,764.00,2304,0.00,2.71,11.57,10.00,255
1.00,5.00,0.80,0.05,0.25,0.70,40,700,65,230.40,670,0.50,2.72,6.16,0.00,239
1.00,5.00,0.80,0.05,0.25,0.60,34,823,65,246.70,758,0.37,2.75,5.22,0.00,240
1.00,5.00,0.80,0.05,0.50,0.10,6,4666,61,2185.60,4320,0.75,2.89,5.22,0.00,335
1.00,5.00,0.80,0.05,0.00,0.90,51,549,28,182.30,465,0.00,2.93,4.42,10.00,229
1.00,5.00,0.80,0.05,0.25,0.20,12,2333,127,738.70,1457,0.31,2.97,6.16,0.00,276
