Metric,Value
Instance,ftv55
Dimension,56
Unique found-optimal tours,111
Unique found-optimal edges,80
Found-optimal edge density [%],2.60
Cycle cover cost,1435.000000
Cycle cover gap to known optimum [%],10.76
Cycle cover cycles,9
Cycle cover min cycle length,2
Cycle cover avg cycle length,6.222222
Cycle cover max cycle length,22
Cycle cover edges,56
Cycle cover edge density [%],1.82
Cycle cover found-optimal edges,41
Cycle cover edges not seen in found-optimal tours,15
Cycle cover precision vs found-optimal edges [%],73.21
Cycle cover recall vs found-optimal edges [%],51.25
Cycle cover lift vs found-optimal edge density,28.187500
High MSA support threshold,1.000000
High MSA support edges,30
High MSA support edge density [%],0.97
High MSA support found-optimal edges,24
High MSA support edges not seen in found-optimal tours,6
High MSA support precision vs found-optimal edges [%],80.00
High MSA support recall vs found-optimal edges [%],30.00
High MSA support lift vs found-optimal edge density,30.800000
Cycle cover positive-MSA support edges,45
Cycle cover positive-MSA support edge density [%],1.46
Cycle cover positive-MSA support found-optimal edges,36
Cycle cover positive-MSA support edges not seen in found-optimal tours,9
Cycle cover positive-MSA support precision vs found-optimal edges [%],80.00
Cycle cover positive-MSA support recall vs found-optimal edges [%],45.00
Cycle cover positive-MSA support lift vs found-optimal edge density,30.800000
Cycle cover high-MSA support edges,23
Cycle cover high-MSA support edge density [%],0.75
Cycle cover high-MSA support found-optimal edges,20
Cycle cover high-MSA support edges not seen in found-optimal tours,3
Cycle cover high-MSA support precision vs found-optimal edges [%],86.96
Cycle cover high-MSA support recall vs found-optimal edges [%],25.00
Cycle cover high-MSA support lift vs found-optimal edge density,33.478261
Cycle cover edges with positive MSA support,45
Cycle cover positive-MSA support share [%],80.36
Cycle cover edges with high MSA support,23
Cycle cover high-MSA support share [%],41.07
High-MSA support edges removed by cycle-cover gate,7
High-MSA support found-optimal edges removed by cycle-cover gate,4
High-MSA support precision gain from cycle-cover gate,0.069565
High-MSA support recall loss from cycle-cover gate,0.050000
Found-optimal edges in both cycle cover and high MSA support,20
Found-optimal edges in cycle cover but not high MSA support,21
Found-optimal edges in high MSA support but not cycle cover,4
Found-optimal edges in neither cycle cover nor high MSA support,35
