Metric,Value
Instance,ftv55
Dimension,56
Unique found-optimal tours,111
Unique found-optimal edges,80
Raw MSA support found-optimal edge coverage [%],65.00
Threshold MSA support threshold,0.800000
Threshold MSA support edges,47
Threshold MSA support precision [%],61.70
Threshold MSA support recall [%],36.25
Threshold MSA support lift,23.755319
Top MSA support edges,55
Top MSA support precision [%],56.36
Top MSA support recall [%],38.75
Top MSA support lift,21.700000
Top MSA support avg tour coverage [%],45.46
Top MSA support best tour coverage [%],50.00
