Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
cycle-cover,1.00,2.00,0.80,0.60,10740,2078,8851.56,10659,0,0.00,0,12.12,13.68,16.85,0.00
cycle-cover-msa-patching,1.00,2.00,0.80,0.30,10740,3556,8342.58,10444,0,0.00,0,11.61,14.21,16.77,0.00
baseline,1.00,2.00,0.80,0.00,10740,3452,8353.12,10530,0,0.00,0,12.04,14.24,16.85,0.00
msa-heuristic,1.00,2.00,0.80,0.70,10740,4393,8583.28,10723,0,0.00,0,12.64,14.84,17.02,0.00
