Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,2.00,0.80,0.00,100,55,79.20,98,0,0.00,0,0.84,2.57,4.90,0.00,0
1.00,2.00,0.80,0.40,100,32,65.60,98,0,0.00,0,0.96,3.99,5.41,0.00,0
1.00,2.00,0.80,0.20,100,29,67.20,92,0,0.00,0,2.42,4.48,6.36,0.00,0
1.00,2.00,0.80,0.60,100,39,69.90,86,0,0.00,0,1.46,4.63,8.22,0.00,0
1.00,2.00,0.80,0.10,100,44,64.50,92,0,0.00,0,0.68,4.94,7.60,0.00,0
1.00,2.00,0.80,0.80,100,18,67.50,97,0,0.00,0,1.63,5.11,9.68,0.00,0
1.00,2.00,0.80,0.70,100,37,72.50,97,0,0.00,0,1.13,5.28,8.73,0.00,0
1.00,2.00,0.80,0.50,100,26,60.10,95,0,0.00,0,3.43,5.44,10.02,0.00,0
1.00,2.00,0.80,0.30,100,39,63.90,95,0,0.00,0,1.30,5.46,11.20,0.00,0
1.00,2.00,0.80,1.00,100,35,74.00,98,0,0.00,0,1.18,5.50,8.61,0.00,0
1.00,2.00,0.80,0.90,100,25,74.60,99,0,0.00,0,3.43,6.24,11.54,0.00,0
