Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.25,0.50,24,200,13,66.90,170,0.00,0.03,0.06,50.00,57
1.00,5.00,0.80,0.05,0.25,0.70,34,141,10,66.10,132,0.00,0.05,0.39,70.00,54
1.00,5.00,0.80,0.05,0.75,0.50,24,200,98,149.40,179,0.00,0.06,0.39,50.00,88
1.00,5.00,0.80,0.05,0.25,0.30,15,320,80,179.70,302,0.00,0.08,0.39,70.00,60
1.00,5.00,0.80,0.05,1.00,0.10,5,960,515,715.90,912,0.00,0.08,0.39,20.00,103
1.00,5.00,0.80,0.05,0.25,0.90,44,109,25,55.10,95,0.00,0.08,0.39,60.00,61
1.00,5.00,0.80,0.05,0.50,0.10,5,960,241,631.10,863,0.00,0.08,0.39,60.00,85
1.00,5.00,0.80,0.05,0.75,0.40,20,240,83,170.30,201,0.00,0.10,0.68,30.00,89
1.00,5.00,0.80,0.05,0.25,0.60,29,165,36,92.30,157,0.00,0.10,0.34,70.00,63
1.00,5.00,0.80,0.05,0.25,0.80,39,123,24,60.50,114,0.00,0.11,0.62,60.00,54
1.00,5.00,0.80,0.05,0.25,1.00,48,100,11,25.70,57,0.00,0.11,0.68,60.00,42
1.00,5.00,0.80,0.05,1.00,1.00,48,100,44,76.70,99,0.00,0.11,0.39,20.00,91
1.00,5.00,0.80,0.05,0.25,0.40,20,240,42,124.80,234,0.00,0.12,0.39,40.00,74
1.00,5.00,0.80,0.05,0.75,0.30,15,320,162,229.60,275,0.00,0.12,0.68,40.00,91
1.00,5.00,0.80,0.05,0.50,0.70,34,141,47,94.60,133,0.00,0.13,0.79,50.00,82
1.00,5.00,0.80,0.05,0.50,0.30,15,320,95,188.80,302,0.00,0.13,0.39,50.00,75
1.00,5.00,0.80,0.05,0.50,0.40,20,240,68,137.70,224,0.00,0.15,0.73,20.00,87
1.00,5.00,0.80,0.05,0.25,0.10,5,960,151,417.90,816,0.00,0.15,0.68,40.00,80
1.00,5.00,0.80,0.05,0.50,0.90,44,109,25,55.70,82,0.00,0.16,0.90,30.00,79
1.00,5.00,0.80,0.05,0.00,0.70,34,141,14,57.00,125,0.00,0.16,0.51,40.00,55
1.00,5.00,0.80,0.05,0.00,0.50,24,200,11,64.20,141,0.00,0.17,0.90,40.00,50
1.00,5.00,0.80,0.05,0.50,0.20,10,480,132,279.90,399,0.00,0.17,0.62,40.00,82
1.00,5.00,0.80,0.05,0.50,0.80,39,123,36,81.90,119,0.00,0.18,0.79,30.00,85
1.00,5.00,0.80,0.05,0.75,0.20,10,480,147,330.60,442,0.00,0.18,0.62,30.00,94
1.00,5.00,0.80,0.05,0.75,0.70,34,141,91,113.70,136,0.00,0.19,0.84,10.00,90
1.00,5.00,0.80,0.05,0.75,1.00,48,100,52,74.70,92,0.00,0.19,0.84,30.00,87
1.00,5.00,0.80,0.05,0.25,0.20,10,480,80,202.60,449,0.00,0.19,0.68,30.00,72
1.00,5.00,0.80,0.05,0.50,0.50,24,200,61,122.30,165,0.00,0.20,0.79,30.00,87
1.00,5.00,0.80,0.05,0.50,0.60,29,165,88,117.20,160,0.00,0.20,0.79,50.00,81
1.00,5.00,0.80,0.05,0.00,1.00,48,100,7,36.30,90,0.00,0.21,0.62,30.00,54
1.00,5.00,0.80,0.05,1.00,0.70,34,141,67,108.40,122,0.00,0.21,0.68,20.00,91
1.00,5.00,0.80,0.05,0.75,0.90,44,109,53,76.00,96,0.00,0.22,0.68,30.00,89
1.00,5.00,0.80,0.05,0.00,0.80,39,123,7,22.00,55,0.00,0.23,0.90,10.00,62
1.00,5.00,0.80,0.05,1.00,0.20,10,480,282,372.50,465,0.00,0.23,0.68,30.00,95
1.00,5.00,0.80,0.05,0.00,0.90,44,109,15,34.50,65,0.00,0.23,0.39,20.00,67
1.00,5.00,0.80,0.05,1.00,0.90,44,109,25,77.90,108,0.00,0.23,0.79,10.00,93
1.00,5.00,0.80,0.05,0.75,0.60,29,165,66,126.40,150,0.00,0.23,0.96,30.00,90
1.00,5.00,0.80,0.05,0.50,1.00,48,100,14,53.70,88,0.00,0.24,0.62,10.00,88
