Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.25,0.80,39,123,31,88.00,120,1.24,3.18,6.93,0.00,32
1.00,5.00,0.80,0.05,0.25,0.50,24,200,30,134.40,199,0.06,3.88,7.60,0.00,33
1.00,5.00,0.80,0.05,0.00,0.10,5,960,164,656.30,914,0.51,3.91,8.45,0.00,45
1.00,5.00,0.80,0.05,0.50,0.20,10,480,259,422.90,476,0.90,4.05,8.90,0.00,38
1.00,5.00,0.80,0.05,0.00,0.30,15,320,38,214.60,315,1.01,4.26,10.08,0.00,34
1.00,5.00,0.80,0.05,0.25,0.70,34,141,32,95.80,134,0.06,4.43,9.80,0.00,32
1.00,5.00,0.80,0.05,0.25,0.90,44,109,19,68.30,105,1.13,4.48,7.71,0.00,31
1.00,5.00,0.80,0.05,0.00,0.70,34,141,39,82.90,136,1.07,4.56,9.85,0.00,32
1.00,5.00,0.80,0.05,0.50,0.70,34,141,73,115.40,140,2.42,4.56,10.25,0.00,32
1.00,5.00,0.80,0.05,0.25,0.30,15,320,74,235.00,294,1.13,4.63,8.56,0.00,35
1.00,5.00,0.80,0.05,0.00,0.40,20,240,50,118.80,218,0.17,4.95,9.91,0.00,33
1.00,5.00,0.80,0.05,0.25,0.10,5,960,460,703.70,948,0.73,5.00,8.95,0.00,47
1.00,5.00,0.80,0.05,0.50,0.60,29,165,106,139.00,162,2.36,5.01,7.71,0.00,33
1.00,5.00,0.80,0.05,0.00,0.60,29,165,32,108.40,160,0.51,5.03,10.47,0.00,32
1.00,5.00,0.80,0.05,0.75,0.80,39,123,92,108.30,122,1.46,5.11,8.90,0.00,32
1.00,5.00,0.80,0.05,0.00,0.90,44,109,22,76.80,107,0.62,5.14,8.56,0.00,31
1.00,5.00,0.80,0.05,0.50,1.00,48,100,66,88.60,99,0.90,5.16,8.78,0.00,32
1.00,5.00,0.80,0.05,0.25,1.00,48,100,26,74.90,99,1.13,5.19,8.39,0.00,31
1.00,5.00,0.80,0.05,0.25,0.40,20,240,82,177.10,239,0.62,5.32,8.39,0.00,34
1.00,5.00,0.80,0.05,0.25,0.60,29,165,30,128.00,159,2.87,5.43,8.39,0.00,33
1.00,5.00,0.80,0.05,0.00,0.20,10,480,35,291.30,470,1.41,5.46,9.85,0.00,37
1.00,5.00,0.80,0.05,0.50,0.40,20,240,153,204.80,235,1.07,5.68,10.30,0.00,34
