Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,2.00,0.80,0.70,5000,11,2033.50,4329,1043993,55156060.00,10034682,1.43,1.97,2.35,0.00,0
1.00,2.00,0.80,0.00,5000,98,2128.40,4720,1048950,61066526.00,11170369,1.76,1.97,2.39,0.00,0
1.00,2.00,0.80,0.90,5000,324,2598.10,4979,1026130,59350220.00,10580293,1.62,2.00,2.57,0.00,0
1.00,2.00,0.80,0.40,5000,414,2828.60,4594,1043156,57695369.00,10572787,1.51,2.01,2.32,0.00,0
1.00,2.00,0.80,1.00,5000,534,2218.70,4694,1131914,58735567.00,10423741,1.58,2.04,2.61,0.00,0
1.00,2.00,0.80,0.30,5000,344,3074.40,4897,1158799,59917813.00,10903460,1.54,2.04,2.39,0.00,0
1.00,2.00,0.80,0.60,5000,134,2337.70,4664,1090516,58934589.00,10679338,1.62,2.06,2.43,0.00,0
1.00,2.00,0.80,0.80,5000,312,2375.30,4923,1226485,58209125.00,10337382,1.40,2.07,2.57,0.00,0
1.00,2.00,0.80,0.20,5000,78,1989.00,4677,1062669,58924987.00,10834033,1.54,2.08,2.50,0.00,0
1.00,2.00,0.80,0.50,5000,1471,3251.60,4956,1137103,58940242.00,10786612,1.69,2.10,2.50,0.00,0
1.00,2.00,0.80,0.10,5000,187,1872.20,4646,1127158,62981051.00,11472788,1.80,2.12,2.50,0.00,0
