Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,124,60.48,52.82,52.007610,70,82.86,40.85,71.245473,54,17,0.223733,0.119718,56.45,77.33
0.200000,116,61.21,50.00,52.629310,67,85.07,40.14,73.152197,49,14,0.238677,0.098592,57.76,80.28
0.300000,116,61.21,50.00,52.629310,67,85.07,40.14,73.152197,49,14,0.238677,0.098592,57.76,80.28
0.400000,113,61.95,49.30,53.265611,66,86.36,40.14,74.260563,47,13,0.244167,0.091549,58.41,81.43
0.500000,111,61.26,47.89,52.676056,64,85.94,38.73,73.894146,47,13,0.246762,0.091549,57.66,80.88
0.600000,109,62.39,47.89,53.642589,64,85.94,38.73,73.894146,45,13,0.235522,0.091549,58.72,80.88
0.700000,106,61.32,45.77,52.727212,62,85.48,37.32,73.504089,44,12,0.241631,0.084507,58.49,81.54
0.800000,105,61.90,45.77,53.229376,62,85.48,37.32,73.504089,43,12,0.235791,0.084507,59.05,81.54
0.900000,100,63.00,44.37,54.171127,61,86.89,37.32,74.709074,39,10,0.238852,0.070423,61.00,84.13
1.000000,64,68.75,30.99,59.115317,45,84.44,26.76,72.610329,19,6,0.156944,0.042254,70.31,86.36
