Metric,Value
Instance,ftv110
Dimension,111
Unique found-optimal tours,63
Unique found-optimal edges,142
Raw MSA support found-optimal edge coverage [%],66.20
Threshold MSA support threshold,0.800000
Threshold MSA support edges,105
Threshold MSA support precision [%],61.90
Threshold MSA support recall [%],45.77
Threshold MSA support lift,53.229376
Top MSA support edges,110
Top MSA support precision [%],61.82
Top MSA support recall [%],47.89
Top MSA support lift,53.154930
Top MSA support avg tour coverage [%],52.84
Top MSA support best tour coverage [%],54.95
