Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,141,65.25,53.18,64.229902,84,90.48,43.93,89.064134,57,16,0.252280,0.092486,59.57,82.61
0.200000,136,64.71,50.87,63.696022,82,91.46,43.35,90.035951,54,13,0.267575,0.075145,60.29,85.23
0.300000,136,64.71,50.87,63.696022,82,91.46,43.35,90.035951,54,13,0.267575,0.075145,60.29,85.23
0.400000,134,64.93,50.29,63.912087,81,91.36,42.77,89.932206,53,13,0.264327,0.075145,60.45,85.06
0.500000,131,64.12,48.55,63.121387,79,91.14,41.62,89.716836,52,12,0.270171,0.069364,60.31,85.71
0.600000,128,64.84,47.98,63.831738,78,91.03,41.04,89.605010,50,12,0.261819,0.069364,60.94,85.54
0.700000,125,65.60,47.40,64.576185,77,90.91,40.46,89.490279,48,12,0.253091,0.069364,61.60,85.37
0.800000,125,65.60,47.40,64.576185,77,90.91,40.46,89.490279,48,12,0.253091,0.069364,61.60,85.37
0.900000,120,66.67,46.24,65.626204,76,92.11,40.46,90.667782,44,10,0.254386,0.057803,63.33,87.50
1.000000,80,75.00,34.68,73.829480,59,91.53,31.21,90.096992,21,6,0.165254,0.034682,73.75,90.00
