Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,141,0.83,65.25,53.18,64.229902,49
0.200000,136,0.80,64.71,50.87,63.696022,48
0.300000,136,0.80,64.71,50.87,63.696022,48
0.400000,134,0.79,64.93,50.29,63.912087,47
0.500000,131,0.77,64.12,48.55,63.121387,47
0.600000,128,0.75,64.84,47.98,63.831738,45
0.700000,125,0.73,65.60,47.40,64.576185,43
0.800000,125,0.73,65.60,47.40,64.576185,43
0.900000,120,0.70,66.67,46.24,65.626204,40
1.000000,80,0.47,75.00,34.68,73.829480,20
