Metric,Value
Instance,ftv130
Dimension,131
Unique found-optimal tours,134
Unique found-optimal edges,173
Found-optimal edge density [%],1.02
Cycle cover cost,2204.000000
Cycle cover gap to known optimum [%],4.46
Cycle cover cycles,16
Cycle cover min cycle length,2
Cycle cover avg cycle length,8.187500
Cycle cover max cycle length,49
Cycle cover edges,131
Cycle cover edge density [%],0.77
Cycle cover found-optimal edges,106
Cycle cover edges not seen in found-optimal tours,25
Cycle cover precision vs found-optimal edges [%],80.92
Cycle cover recall vs found-optimal edges [%],61.27
Cycle cover lift vs found-optimal edge density,79.653179
High MSA support threshold,1.000000
High MSA support edges,80
High MSA support edge density [%],0.47
High MSA support found-optimal edges,60
High MSA support edges not seen in found-optimal tours,20
High MSA support precision vs found-optimal edges [%],75.00
High MSA support recall vs found-optimal edges [%],34.68
High MSA support lift vs found-optimal edge density,73.829480
Cycle cover positive-MSA support edges,106
Cycle cover positive-MSA support edge density [%],0.62
Cycle cover positive-MSA support found-optimal edges,92
Cycle cover positive-MSA support edges not seen in found-optimal tours,14
Cycle cover positive-MSA support precision vs found-optimal edges [%],86.79
Cycle cover positive-MSA support recall vs found-optimal edges [%],53.18
Cycle cover positive-MSA support lift vs found-optimal edge density,85.437889
Cycle cover high-MSA support edges,59
Cycle cover high-MSA support edge density [%],0.35
Cycle cover high-MSA support found-optimal edges,54
Cycle cover high-MSA support edges not seen in found-optimal tours,5
Cycle cover high-MSA support precision vs found-optimal edges [%],91.53
Cycle cover high-MSA support recall vs found-optimal edges [%],31.21
Cycle cover high-MSA support lift vs found-optimal edge density,90.096992
Cycle cover edges with positive MSA support,106
Cycle cover positive-MSA support share [%],80.92
Cycle cover edges with high MSA support,59
Cycle cover high-MSA support share [%],45.04
High-MSA support edges removed by cycle-cover gate,21
High-MSA support found-optimal edges removed by cycle-cover gate,6
High-MSA support precision gain from cycle-cover gate,0.165254
High-MSA support recall loss from cycle-cover gate,0.034682
Found-optimal edges in both cycle cover and high MSA support,54
Found-optimal edges in cycle cover but not high MSA support,52
Found-optimal edges in high MSA support but not cycle cover,6
Found-optimal edges in neither cycle cover nor high MSA support,61
