Metric,Value
Instance,dc134
Dimension,134
Unique found-optimal tours,0
Unique found-optimal edges,0
Found-optimal edge density [%],0.00
Cycle cover cost,5591.000000
Cycle cover gap to known optimum [%],0.37
Cycle cover cycles,21
Cycle cover min cycle length,2
Cycle cover avg cycle length,6.380952
Cycle cover max cycle length,38
Cycle cover edges,134
Cycle cover edge density [%],0.75
Cycle cover found-optimal edges,0
Cycle cover edges not seen in found-optimal tours,0
Cycle cover precision vs found-optimal edges [%],0.00
Cycle cover recall vs found-optimal edges [%],0.00
Cycle cover lift vs found-optimal edge density,0.000000
High MSA support threshold,1.000000
High MSA support edges,73
High MSA support edge density [%],0.41
High MSA support found-optimal edges,0
High MSA support edges not seen in found-optimal tours,0
High MSA support precision vs found-optimal edges [%],0.00
High MSA support recall vs found-optimal edges [%],0.00
High MSA support lift vs found-optimal edge density,0.000000
Cycle cover positive-MSA support edges,8
Cycle cover positive-MSA support edge density [%],0.04
Cycle cover positive-MSA support found-optimal edges,0
Cycle cover positive-MSA support edges not seen in found-optimal tours,0
Cycle cover positive-MSA support precision vs found-optimal edges [%],0.00
Cycle cover positive-MSA support recall vs found-optimal edges [%],0.00
Cycle cover positive-MSA support lift vs found-optimal edge density,0.000000
Cycle cover high-MSA support edges,6
Cycle cover high-MSA support edge density [%],0.03
Cycle cover high-MSA support found-optimal edges,0
Cycle cover high-MSA support edges not seen in found-optimal tours,0
Cycle cover high-MSA support precision vs found-optimal edges [%],0.00
Cycle cover high-MSA support recall vs found-optimal edges [%],0.00
Cycle cover high-MSA support lift vs found-optimal edge density,0.000000
Cycle cover edges with positive MSA support,8
Cycle cover positive-MSA support share [%],5.97
Cycle cover edges with high MSA support,6
Cycle cover high-MSA support share [%],4.48
High-MSA support edges removed by cycle-cover gate,67
High-MSA support found-optimal edges removed by cycle-cover gate,0
High-MSA support precision gain from cycle-cover gate,0.000000
High-MSA support recall loss from cycle-cover gate,0.000000
Found-optimal edges in both cycle cover and high MSA support,0
Found-optimal edges in cycle cover but not high MSA support,0
Found-optimal edges in high MSA support but not cycle cover,0
Found-optimal edges in neither cycle cover nor high MSA support,0
