Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,133,0.00,0.00,0.000000,6,0.00,0.00,0.000000,127,0,0.000000,0.000000,4.51,0.00
0.200000,133,0.00,0.00,0.000000,6,0.00,0.00,0.000000,127,0,0.000000,0.000000,4.51,0.00
0.300000,133,0.00,0.00,0.000000,6,0.00,0.00,0.000000,127,0,0.000000,0.000000,4.51,0.00
0.400000,132,0.00,0.00,0.000000,6,0.00,0.00,0.000000,126,0,0.000000,0.000000,4.55,0.00
0.500000,132,0.00,0.00,0.000000,6,0.00,0.00,0.000000,126,0,0.000000,0.000000,4.55,0.00
0.600000,132,0.00,0.00,0.000000,6,0.00,0.00,0.000000,126,0,0.000000,0.000000,4.55,0.00
0.700000,131,0.00,0.00,0.000000,6,0.00,0.00,0.000000,125,0,0.000000,0.000000,4.58,0.00
0.800000,131,0.00,0.00,0.000000,6,0.00,0.00,0.000000,125,0,0.000000,0.000000,4.58,0.00
0.900000,130,0.00,0.00,0.000000,6,0.00,0.00,0.000000,124,0,0.000000,0.000000,4.62,0.00
1.000000,73,0.00,0.00,0.000000,6,0.00,0.00,0.000000,67,0,0.000000,0.000000,8.22,0.00
