Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,133,0.75,0.00,0.00,0.000000,0
0.200000,133,0.75,0.00,0.00,0.000000,0
0.300000,133,0.75,0.00,0.00,0.000000,0
0.400000,132,0.74,0.00,0.00,0.000000,0
0.500000,132,0.74,0.00,0.00,0.000000,0
0.600000,132,0.74,0.00,0.00,0.000000,0
0.700000,131,0.74,0.00,0.00,0.000000,0
0.800000,131,0.74,0.00,0.00,0.000000,0
0.900000,130,0.73,0.00,0.00,0.000000,0
1.000000,73,0.41,0.00,0.00,0.000000,0
