Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,5000,32,189.30,402,0,0.00,0,0.96,1.10,1.28,0.00
1.00,2.00,0.80,0.90,5000,35,663.80,4263,0,0.00,0,0.98,1.14,1.28,0.00
1.00,2.00,0.80,1.00,5000,26,115.40,265,0,0.00,0,1.05,1.16,1.27,0.00
1.00,2.00,0.80,0.70,5000,69,156.30,266,0,0.00,0,1.03,1.17,1.23,0.00
1.00,2.00,0.80,0.60,5000,23,433.50,3165,0,0.00,0,1.10,1.18,1.25,0.00
1.00,2.00,0.80,0.50,5000,15,102.60,227,0,0.00,0,1.02,1.18,1.28,0.00
1.00,2.00,0.80,0.40,5000,36,105.10,207,0,0.00,0,0.96,1.18,1.30,0.00
1.00,2.00,0.80,0.80,5000,44,148.10,282,0,0.00,0,1.10,1.18,1.27,0.00
1.00,2.00,0.80,0.10,5000,28,399.10,2410,0,0.00,0,1.02,1.25,1.41,0.00
1.00,2.00,0.80,0.00,5000,54,118.10,264,0,0.00,0,1.07,1.31,1.43,0.00
1.00,2.00,0.80,0.20,5000,26,117.00,224,0,0.00,0,1.18,1.35,1.46,0.00
