Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,115,1.16,47.83,55.00,47.347826,60
0.200000,109,1.10,49.54,54.00,49.045872,55
0.300000,106,1.07,49.06,52.00,48.566038,54
0.400000,103,1.04,48.54,50.00,48.058252,53
0.500000,99,1.00,50.51,50.00,50.000000,49
0.600000,97,0.98,50.52,49.00,50.010309,48
0.700000,94,0.95,51.06,48.00,50.553191,46
0.800000,90,0.91,53.33,48.00,52.800000,42
0.900000,84,0.85,54.76,46.00,54.214286,38
1.000000,57,0.58,57.89,33.00,57.315789,24
