Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,115,47.83,55.00,47.347826,53,75.47,40.00,74.716981,62,15,0.276456,0.150000,46.09,72.73
0.200000,109,49.54,54.00,49.045872,52,76.92,40.00,76.153846,57,14,0.273818,0.140000,47.71,74.07
0.300000,106,49.06,52.00,48.566038,50,76.00,38.00,75.240000,56,14,0.269434,0.140000,47.17,73.08
0.400000,103,48.54,50.00,48.058252,49,75.51,37.00,74.755102,54,13,0.269665,0.130000,47.57,74.00
0.500000,99,50.51,50.00,50.000000,48,77.08,37.00,76.312500,51,13,0.265783,0.130000,48.48,74.00
0.600000,97,50.52,49.00,50.010309,47,76.60,36.00,75.829787,50,13,0.260803,0.130000,48.45,73.47
0.700000,94,51.06,48.00,50.553191,46,76.09,35.00,75.326087,48,13,0.250231,0.130000,48.94,72.92
0.800000,90,53.33,48.00,52.800000,45,77.78,35.00,77.000000,45,13,0.244444,0.130000,50.00,72.92
0.900000,84,54.76,46.00,54.214286,44,77.27,34.00,76.500000,40,12,0.225108,0.120000,52.38,73.91
1.000000,57,57.89,33.00,57.315789,32,84.38,27.00,83.531250,25,6,0.264803,0.060000,56.14,81.82
