Metric,Value
Instance,crane100_1
Dimension,100
Unique found-optimal tours,1
Unique found-optimal edges,100
Raw MSA support found-optimal edge coverage [%],68.00
Threshold MSA support threshold,0.800000
Threshold MSA support edges,90
Threshold MSA support precision [%],53.33
Threshold MSA support recall [%],48.00
Threshold MSA support lift,52.800000
Top MSA support edges,99
Top MSA support precision [%],50.51
Top MSA support recall [%],50.00
Top MSA support lift,50.000000
Top MSA support avg tour coverage [%],50.00
Top MSA support best tour coverage [%],50.00
