Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.50,0.10,4,975,279,595.70,873,0.00,0.52,1.18,40.00,26
1.00,5.00,0.80,0.05,0.50,0.40,16,243,43,153.00,207,0.00,0.89,2.61,30.00,18
1.00,5.00,0.80,0.05,0.25,0.30,12,325,45,194.70,303,0.00,1.05,5.29,30.00,18
1.00,5.00,0.80,0.05,0.75,0.50,20,195,119,156.60,192,0.00,1.16,3.53,30.00,19
1.00,5.00,0.80,0.05,0.50,0.30,12,325,138,191.50,256,0.00,1.27,5.29,10.00,21
1.00,5.00,0.80,0.05,0.50,0.20,8,487,147,253.70,360,0.00,1.35,5.29,50.00,17
1.00,5.00,0.80,0.05,0.75,0.10,4,975,455,761.40,921,0.00,1.56,4.38,20.00,29
1.00,5.00,0.80,0.05,0.50,0.60,24,162,40,114.80,158,0.00,1.66,5.42,30.00,19
1.00,5.00,0.80,0.05,1.00,0.90,36,108,63,94.20,105,0.00,1.73,5.42,10.00,19
1.00,5.00,0.80,0.05,0.75,0.40,16,243,32,150.10,214,0.00,1.73,3.73,10.00,19
1.00,5.00,0.80,0.05,1.00,0.50,20,195,100,157.70,187,0.00,1.75,3.66,30.00,19
1.00,5.00,0.80,0.05,0.75,0.30,12,325,113,256.60,313,0.00,1.78,4.90,10.00,21
1.00,5.00,0.80,0.05,0.75,0.90,36,108,58,83.20,100,0.00,1.83,5.36,10.00,19
1.00,5.00,0.80,0.05,1.00,1.00,39,100,50,78.10,96,0.92,1.83,3.59,0.00,19
1.00,5.00,0.80,0.05,1.00,0.80,32,121,23,97.00,119,0.39,1.86,3.59,0.00,19
1.00,5.00,0.80,0.05,0.25,0.40,16,243,58,142.70,235,0.00,1.90,5.36,10.00,18
1.00,5.00,0.80,0.05,1.00,0.20,8,487,185,366.70,460,0.00,1.95,4.12,10.00,23
1.00,5.00,0.80,0.05,0.75,0.70,28,139,80,110.60,138,1.05,2.03,3.92,0.00,20
1.00,5.00,0.80,0.05,0.25,0.90,36,108,24,59.40,102,0.00,2.03,6.21,20.00,16
1.00,5.00,0.80,0.05,0.75,1.00,39,100,48,75.30,99,0.00,2.06,7.25,30.00,18
1.00,5.00,0.80,0.05,0.25,0.80,32,121,19,87.90,119,0.00,2.12,4.77,10.00,18
1.00,5.00,0.80,0.05,1.00,0.30,12,325,169,262.70,312,0.00,2.16,4.77,10.00,21
1.00,5.00,0.80,0.05,1.00,0.40,16,243,170,202.00,235,0.26,2.16,5.10,0.00,21
1.00,5.00,0.80,0.05,1.00,0.70,28,139,50,103.00,128,0.00,2.17,3.92,10.00,19
1.00,5.00,0.80,0.05,0.50,0.50,20,195,69,123.40,175,0.00,2.20,5.29,30.00,18
1.00,5.00,0.80,0.05,0.50,0.80,32,121,31,57.60,92,0.00,2.20,6.99,10.00,18
1.00,5.00,0.80,0.05,0.50,1.00,39,100,55,75.60,86,0.00,2.25,6.86,20.00,18
1.00,5.00,0.80,0.05,0.25,0.10,4,975,301,610.20,954,0.39,2.30,5.29,0.00,28
1.00,5.00,0.80,0.05,0.25,0.50,20,195,42,107.90,185,0.00,2.34,5.36,20.00,16
1.00,5.00,0.80,0.05,0.50,0.90,36,108,18,66.90,98,0.00,2.43,5.42,10.00,18
1.00,5.00,0.80,0.05,0.00,0.60,24,162,8,74.50,156,0.00,2.48,5.36,20.00,16
1.00,5.00,0.80,0.05,0.00,0.30,12,325,33,158.40,297,1.11,2.56,7.58,0.00,20
1.00,5.00,0.80,0.05,0.00,0.20,8,487,60,231.10,484,1.05,2.60,5.03,0.00,22
1.00,5.00,0.80,0.05,1.00,0.10,4,975,695,845.80,949,0.00,2.62,5.82,10.00,28
1.00,5.00,0.80,0.05,0.50,0.70,28,139,43,99.80,137,0.00,2.71,5.29,20.00,17
1.00,5.00,0.80,0.05,0.75,0.80,32,121,61,86.10,118,0.39,2.73,5.42,0.00,20
1.00,5.00,0.80,0.05,0.00,0.40,16,243,16,112.90,221,0.00,2.74,5.42,10.00,18
1.00,5.00,0.80,0.05,0.00,0.50,20,195,44,115.20,178,0.00,2.82,6.08,10.00,18
1.00,5.00,0.80,0.05,0.00,0.10,4,975,280,608.40,957,0.00,2.91,5.10,10.00,27
1.00,5.00,0.80,0.05,0.00,0.90,36,108,10,52.60,100,1.50,2.91,5.49,0.00,18
1.00,5.00,0.80,0.05,0.00,1.00,39,100,9,59.40,97,0.00,2.92,4.84,10.00,16
1.00,5.00,0.80,0.05,0.25,1.00,39,100,7,56.40,93,0.39,2.99,6.54,0.00,18
1.00,5.00,0.80,0.05,0.75,0.20,8,487,166,358.10,482,0.00,2.99,6.99,20.00,23
1.00,5.00,0.80,0.05,0.75,0.60,24,162,102,118.70,148,0.26,3.06,7.25,0.00,20
1.00,5.00,0.80,0.05,0.25,0.20,8,487,91,253.50,485,0.00,3.09,6.27,20.00,19
1.00,5.00,0.80,0.05,0.25,0.70,28,139,24,95.10,136,0.00,3.09,5.49,10.00,18
1.00,5.00,0.80,0.05,1.00,0.60,24,162,54,120.20,160,1.37,3.12,3.73,0.00,20
1.00,5.00,0.80,0.05,0.25,0.60,24,162,8,92.90,158,0.00,3.33,6.60,10.00,17
1.00,5.00,0.80,0.05,0.00,0.70,28,139,53,95.00,130,1.11,3.62,8.37,0.00,18
1.00,5.00,0.80,0.05,0.00,0.80,32,121,15,61.20,115,1.11,4.44,7.58,0.00,18
