Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.50,0.90,36,108,9,19.60,37,0.00,0.00,0.00,100.00,8
1.00,5.00,0.80,0.05,0.50,0.60,24,162,2,22.20,42,0.00,0.00,0.00,100.00,6
1.00,5.00,0.80,0.05,0.50,0.80,32,121,10,24.80,44,0.00,0.00,0.00,100.00,9
1.00,5.00,0.80,0.05,0.75,1.00,39,100,10,26.10,46,0.00,0.00,0.00,100.00,12
1.00,5.00,0.80,0.05,0.50,1.00,39,100,11,26.30,46,0.00,0.00,0.00,100.00,12
1.00,5.00,0.80,0.05,0.75,0.90,36,108,17,30.80,51,0.00,0.00,0.00,100.00,14
1.00,5.00,0.80,0.05,0.50,0.50,20,195,6,33.80,78,0.00,0.00,0.00,100.00,8
1.00,5.00,0.80,0.05,0.50,0.40,16,243,12,35.20,55,0.00,0.00,0.00,100.00,7
1.00,5.00,0.80,0.05,1.00,1.00,39,100,27,39.10,56,0.00,0.00,0.00,100.00,19
1.00,5.00,0.80,0.05,0.75,0.80,32,121,15,43.90,75,0.00,0.00,0.00,100.00,17
1.00,5.00,0.80,0.05,0.75,0.60,24,162,17,45.40,78,0.00,0.00,0.00,100.00,14
1.00,5.00,0.80,0.05,0.25,0.10,4,975,13,45.50,124,0.00,0.00,0.00,100.00,2
1.00,5.00,0.80,0.05,0.75,0.70,28,139,18,46.40,73,0.00,0.00,0.00,100.00,16
1.00,5.00,0.80,0.05,1.00,0.90,36,108,32,53.50,76,0.00,0.00,0.00,100.00,24
1.00,5.00,0.80,0.05,0.75,0.50,20,195,26,60.90,79,0.00,0.00,0.00,100.00,15
1.00,5.00,0.80,0.05,0.50,0.30,12,325,11,63.80,149,0.00,0.00,0.00,100.00,9
1.00,5.00,0.80,0.05,1.00,0.60,24,162,27,72.30,116,0.00,0.00,0.00,100.00,21
1.00,5.00,0.80,0.05,0.50,0.20,8,487,32,72.90,146,0.00,0.00,0.00,100.00,7
1.00,5.00,0.80,0.05,0.75,0.40,16,243,16,81.70,137,0.00,0.00,0.00,100.00,16
1.00,5.00,0.80,0.05,1.00,0.50,20,195,40,99.00,157,0.00,0.00,0.00,100.00,25
1.00,5.00,0.80,0.05,0.75,0.30,12,325,59,121.30,173,0.00,0.00,0.00,100.00,18
1.00,5.00,0.80,0.05,1.00,0.40,16,243,74,131.50,241,0.00,0.00,0.00,100.00,26
1.00,5.00,0.80,0.05,1.00,0.30,12,325,54,157.70,224,0.00,0.00,0.00,100.00,24
1.00,5.00,0.80,0.05,0.50,0.10,4,975,91,168.30,308,0.00,0.00,0.00,100.00,9
1.00,5.00,0.80,0.05,0.75,0.20,8,487,71,187.10,297,0.00,0.00,0.00,100.00,20
1.00,5.00,0.80,0.05,0.25,0.80,32,121,5,19.20,41,0.00,0.01,0.13,90.00,8
1.00,5.00,0.80,0.05,0.25,0.70,28,139,5,20.30,77,0.00,0.01,0.13,90.00,7
1.00,5.00,0.80,0.05,0.25,0.60,24,162,4,24.40,50,0.00,0.01,0.13,90.00,9
1.00,5.00,0.80,0.05,0.50,0.70,28,139,6,32.60,87,0.00,0.01,0.13,90.00,12
1.00,5.00,0.80,0.05,1.00,0.70,28,139,46,72.70,123,0.00,0.01,0.13,90.00,26
1.00,5.00,0.80,0.05,0.25,0.20,8,487,10,84.20,275,0.00,0.01,0.13,90.00,8
1.00,5.00,0.80,0.05,1.00,0.20,8,487,203,265.80,378,0.00,0.01,0.13,90.00,30
1.00,5.00,0.80,0.05,1.00,0.10,4,975,288,468.50,818,0.00,0.01,0.13,90.00,29
1.00,5.00,0.80,0.05,1.00,0.80,32,121,4,56.50,108,0.00,0.03,0.26,90.00,22
1.00,5.00,0.80,0.05,0.25,0.30,12,325,8,57.60,275,0.00,0.03,0.13,80.00,10
1.00,5.00,0.80,0.05,0.00,0.60,24,162,5,36.70,154,0.00,0.04,0.13,70.00,12
1.00,5.00,0.80,0.05,0.25,0.40,16,243,6,38.70,72,0.00,0.04,0.13,70.00,14
1.00,5.00,0.80,0.05,0.25,0.50,20,195,10,69.60,150,0.00,0.07,0.13,50.00,20
1.00,5.00,0.80,0.05,0.00,1.00,39,100,9,25.00,54,0.00,0.08,0.13,40.00,21
1.00,5.00,0.80,0.05,0.00,0.50,20,195,8,47.40,123,0.00,0.08,0.13,40.00,19
1.00,5.00,0.80,0.05,0.00,0.10,4,975,117,261.20,503,0.00,0.08,0.13,40.00,27
1.00,5.00,0.80,0.05,0.00,0.20,8,487,20,96.00,269,0.00,0.09,0.13,30.00,24
1.00,5.00,0.80,0.05,0.75,0.10,4,975,100,339.00,729,0.00,0.10,0.92,80.00,24
