Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,4020,207,1491.33,3326,0,0.00,0,0.86,1.06,1.28,0.00
1.00,2.00,0.80,0.20,4020,111,1645.40,3868,0,0.00,0,0.93,1.06,1.21,0.00
1.00,2.00,0.80,0.50,4020,690,2298.63,3850,0,0.00,0,0.84,1.07,1.32,0.00
1.00,2.00,0.80,0.10,4020,96,1528.73,3794,0,0.00,0,0.91,1.09,1.34,0.00
1.00,2.00,0.80,0.40,4020,304,1965.23,3833,0,0.00,0,0.96,1.10,1.32,0.00
1.00,2.00,0.80,0.60,4020,273,2096.93,3578,0,0.00,0,0.82,1.15,1.44,0.00
1.00,2.00,0.80,0.70,4020,1028,2306.63,3646,0,0.00,0,0.86,1.22,1.46,0.00
1.00,2.00,0.80,0.90,4020,1055,2939.97,3808,0,0.00,0,0.98,1.24,1.50,0.00
1.00,2.00,0.80,0.80,4020,641,2670.40,3814,0,0.00,0,0.98,1.27,1.50,0.00
1.00,2.00,0.80,1.00,4020,2016,3069.23,3966,0,0.00,0,0.94,1.28,1.57,0.00
